Ranking 2022;Año;Ranking 2021;Expediente;Nombre;Tipo;RAMA;CIIU;DETALLE;Region;Provincia;Ciudad;Tamaño;Sector;Cant. Empleados;"Activo
2022";"Patrimonio
2022";"Ingreso por ventas
2022";"Utilidad antes del impuesto
2022";"Utilidad del ejercicio
2022";"Utilidad neta
2022";"IR causado
2022";"Ingreso Total
2022";;
11;2022;9;93325;CORPORACION QUIPORT S.A.;ANÓNIMA;M;M7020.04;PRESTACIÓN DE ASESORAMIENTO Y AYUDA A LAS EMPRESAS Y LAS ADMINISTRACIONES PÚBLICAS EN MATERIA DE PLANIFICACIÓN, ORGANIZACIÓN, EFICIENCIA Y CONTROL, INFORMACIÓN ADMINISTRATIVA, ETCÉTERA.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;109;811780700,4;218146378,1;144955247,3;36240053,84;42635357,46;36240053,84;0;154779312,9;;
12;2022;12;320197;RUART ECUADOR S.A.S.;SOCIEDAD POR ACCIONES SIMPLIFICADA;K;K6420.00;ACTIVIDADES DE SOCIEDADES DE CARTERA, ES DECIR, UNIDADES TENEDORAS DE ACTIVOS DE UN GRUPO DE EMPRESAS FILIALES (CON PARTICIPACIÓN DE CONTROL EN SU CAPITAL SOCIAL) Y CUYA ACTIVIDAD PRINCIPAL CONSISTE EN LA PROPIEDAD DEL GRUPO. LAS SOCIEDADES DE CARTERA CLASIFICADAS EN ESTA CLASE NO SUMINISTRAN NINGÚN OTRO SERVICIO A LAS EMPRESAS PARTICIPADAS, ES DECIR, NO ADMINISTRAN NI GESTIONAN OTRAS UNIDADES.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;1;798049253,5;797879410,6;31688870,59;30129277,19;30129277,19;29943851,1;185426,09;31688994,88;;
13;2022;10;47972;OTECEL S.A.;ANÓNIMA;J;J6120.01;OPERACIÓN, MANTENIMIENTO O FACILITACIÓN DEL ACCESO A SERVICIOS DE TRANSMISIÓN DE VOZ, DATOS, TEXTO, SONIDO Y VÍDEO UTILIZANDO UNA INFRAESTRUCTURA DE TELECOMUNICACIONES INALÁMBRICAS. INCLUYE LAS ACTIVIDADES DE MANTENIMIENTO Y EXPLOTACIÓN DE REDES DE RADIO BÚSQUEDA Y DE TELEFONÍA MÓVIL Y OTRAS REDES DE TELECOMUNICACIONES INALÁMBRICAS.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;MERCADO DE VALORES;930;713155951;232184918,4;514067176,6;26903731,21;31652860,25;19934842,96;6968888,25;514956070,8;;
14;2022;25;70689;GISIS S.A.;ANÓNIMA;C;C1080.02;FABRICACIÓN DE ALIMENTOS PREPARADOS PARA ANIMALES DE GRANJA (AVES, GANADO VACUNO, PORCINO, ETCÉTERA), ANIMALES ACUÁTICOS, INCLUIDOS ALIMENTOS CONCENTRADOS, SUPLEMENTOS ALIMENTICIOS, LA PREPARACIÓN DE ALIMENTOS SIN MEZCLAR (ELABORADOS A PARTIR DE UN ÚNICO PRODUCTO) Y LOS OBTENIDOS DEL TRATAMIENTO DE DESPERDICIOS DE MATADEROS.;COSTA;GUAYAS                                            ;ELOY ALFARO (DURAN)                               ;GRANDE;SOCIETARIO;831;700117807,8;225884644,4;1089438628;96588059,82;113633011,6;87538825,42;19777997,42;1089438628;;
15;2022;15;118480;AMOVECUADOR S.A.;ANÓNIMA;J;J6120.01;OPERACIÓN, MANTENIMIENTO O FACILITACIÓN DEL ACCESO A SERVICIOS DE TRANSMISIÓN DE VOZ, DATOS, TEXTO, SONIDO Y VÍDEO UTILIZANDO UNA INFRAESTRUCTURA DE TELECOMUNICACIONES INALÁMBRICAS. INCLUYE LAS ACTIVIDADES DE MANTENIMIENTO Y EXPLOTACIÓN DE REDES DE RADIO BÚSQUEDA Y DE TELEFONÍA MÓVIL Y OTRAS REDES DE TELECOMUNICACIONES INALÁMBRICAS.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;2;680408846,5;670692472,2;28393097,93;50924647,21;50924647,21;46095587,13;4829060,08;83330326,9;;
16;2022;16;3502;TIENDAS INDUSTRIALES ASOCIADAS TIA S.A.;ANÓNIMA;G;G4711.01;VENTA AL POR MENOR DE GRAN VARIEDAD DE PRODUCTOS EN TIENDAS, ENTRE LOS QUE PREDOMINAN, LOS PRODUCTOS ALIMENTICIOS, LAS BEBIDAS O EL TABACO, COMO PRODUCTOS DE PRIMERA NECESIDAD Y VARIOS OTROS TIPOS DE PRODUCTOS, COMO PRENDAS DE VESTIR, MUEBLES, APARATOS, ARTÍCULOS DE FERRETERÍA, COSMÉTICOS, ETCÉTERA.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;MERCADO DE VALORES;8369;604300932;88316759;776159786,9;40295249;47406174,51;30230705;10064544;776159786,9;;
17;2022;22;20013;AGRIPAC SA;ANÓNIMA;G;G4669.12;VENTA AL POR MAYOR DE ABONOS Y PRODUCTOS QUÍMICOS DE USO AGRÍCOLA.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;MERCADO DE VALORES;1527;570720769,2;189605768,7;500514253,4;17477465,29;20561723,87;12014014,84;5998352,93;503077107,2;;
18;2022;33;79223;MANESIL S.A.;ANÓNIMA;K;K6420.00;ACTIVIDADES DE SOCIEDADES DE CARTERA, ES DECIR, UNIDADES TENEDORAS DE ACTIVOS DE UN GRUPO DE EMPRESAS FILIALES (CON PARTICIPACIÓN DE CONTROL EN SU CAPITAL SOCIAL) Y CUYA ACTIVIDAD PRINCIPAL CONSISTE EN LA PROPIEDAD DEL GRUPO. LAS SOCIEDADES DE CARTERA CLASIFICADAS EN ESTA CLASE NO SUMINISTRAN NINGÚN OTRO SERVICIO A LAS EMPRESAS PARTICIPADAS, ES DECIR, NO ADMINISTRAN NI GESTIONAN OTRAS UNIDADES.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;4;563710760,6;560875342,2;91396717,71;0;91375711,63;91374701,15;0;91397728,19;;
19;2022;17;56871;INMOBILIARIA MOTKE S.A.;ANÓNIMA;L;L6810.01;"COMPRA - VENTA, ALQUILER Y EXPLOTACIÓN DE BIENES INMUEBLES PROPIOS O ARRENDADOS, COMO: EDIFICIOS DE APARTAMENTOS Y VIVIENDAS; EDIFICIOS NO RESIDENCIALES, INCLUSO SALAS DE EXPOSICIONES; INSTALACIONES PARA ALMACENAJE, CENTROS COMERCIALES Y TERRENOS; INCLUYE EL ALQUILER DE CASAS Y APARTAMENTOS AMUEBLADOS O SIN AMUEBLAR POR PERÍODOS LARGOS, EN GENERAL POR MESES O POR AÑOS.";COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;12;554579727,5;64572540,78;48227407,32;6342754,5;6342754,5;3421186,51;2554681,86;53327933,51;;
20;2022;18;2308;HOLCIM ECUADOR S.A.;ANÓNIMA;C;C2394.01;FABRICACIÓN DE CEMENTOS HIDRÁULICOS, INCLUIDO CEMENTO DE PÓRTLAND, CEMENTO ALUMINOSO, CEMENTO DE ESCORIAS Y CEMENTO HIPERSULFATADO.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;MERCADO DE VALORES;842;545143385,8;342757195,3;391574647,6;129468623,9;147996029,1;107538783;22037083,71;392769293,4;;
21;2022;23;45435;OVERSEAS PETROLEUM AND INVESTMENT CORPORATION;SUCURSAL  EXTRANJERA;B;B0610.00;EXTRACCIÓN DE ACEITES CRUDOS DE PETRÓLEO, ESQUISTOS BITUMINOSOS Y ARENAS ALQUITRANADAS, PRODUCCIÓN DE PETRÓLEO CRUDO DE ESQUISTOS Y ARENAS BITUMINOSAS, PROCESOS DE OBTENCIÓN DE CRUDOS: DECANTACIÓN, DESALADO, DESHIDRATACIÓN, ESTABILIZACIÓN, ETCÉTERA.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;1;541996173,8;409906006,7;105639438,3;29364255,75;29364255,74;22947428,7;6416827,04;105639438,3;;
22;2022;20;175121;UNIÓN CEMENTERA NACIONAL, UCEM S.A.;ANÓNIMA;C;C2395.01;FABRICACIÓN DE COMPONENTES ESTRUCTURALES Y MATERIALES PREFABRICADOS PARA OBRAS DE CONSTRUCCIÓN O DE INGENIERÍA CIVIL DE HORMIGÓN, CEMENTO, PIEDRA ARTIFICIAL O YESO: LOSETAS, LOSAS, BALDOSAS, LADRILLOS, BLOQUES, PLANCHAS, PANELES, LÁMINAS, TABLEROS, CAÑOS, TUBOS, POSTES, ETCÉTERA.;SIERRA;CHIMBORAZO                                        ;RIOBAMBA                                          ;GRANDE;SOCIETARIO;907;522266983,2;337608029,8;190439581,6;20032501,62;23567648,97;16765422;4407150,36;193285408,4;;
23;2022;19;742;LA FABRIL S.A.;ANÓNIMA;C;C1040.11;ELABORACIÓN DE ACEITES CRUDOS VEGETALES (SIN REFINAR) DE: OLIVA, SOYA, PALMA, SEMILLA DE GIRASOL, SEMILLA DE ALGODÓN, COLZA, REPOLLO O MOSTAZA, LINAZA, ETCÉTERA.;COSTA;MANABI                                            ;MONTECRISTI                                       ;GRANDE;MERCADO DE VALORES;3046;497501080,2;117795635,8;710280986,4;12862182,47;15131979,38;9763446,46;3098736,01;710419392;;
24;2022;42;40424;OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS OMARSA SA;ANÓNIMA;A;A0321.02;EXPLOTACIÓN DE CRIADEROS DE CAMARONES (CAMARONERAS), CRIADEROS DE LARVAS  DE CAMARÓN (LABORATORIOS DE LARVAS DE CAMARÓN).;COSTA;GUAYAS                                            ;ELOY ALFARO (DURAN)                               ;GRANDE;SOCIETARIO;7347;489276768,5;230300396,2;881440090,7;76121283,78;89554451,51;69728117,16;7047425,16;882112639,6;;
25;2022;27;44313;DISTRIBUIDORA FARMACEUTICA ECUATORIANA (DIFARE) S.A.;ANÓNIMA;G;G4649.22;VENTA AL POR MAYOR DE PRODUCTOS FARMACÉUTICOS, INCLUSO VETERINARIOS.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;MERCADO DE VALORES;4237;488741933,9;111167750,9;897871392,3;27352524,88;32179441,04;21800301,53;5552223,35;899526097,3;;
26;2022;30;20090;EMPACADORA GRUPO GRANMAR S.A. EMPAGRAN;ANÓNIMA;A;A0321.02;EXPLOTACIÓN DE CRIADEROS DE CAMARONES (CAMARONERAS), CRIADEROS DE LARVAS  DE CAMARÓN (LABORATORIOS DE LARVAS DE CAMARÓN).;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;MERCADO DE VALORES;1031;484261462,8;117439944,6;162573631,3;2844882,66;2043306,96;1108071,74;947801,86;163383822,3;;
27;2022;21;707891;DPWORLD POSORJA S.A.;ANÓNIMA;F;F4290.11;CONSTRUCCIÓN DE VÍAS DE NAVEGACIÓN, OBRAS PORTUARIAS Y FLUVIALES, PUERTOS DEPORTIVOS, ESCLUSAS, PRESAS Y DIQUES.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;548;476825690,5;66944337,17;53675876,25;-21064068,49;-21064068,49;-21425556,19;361487,7;53678322,64;;
28;2022;29;146446;SCHLUMBERGER DEL ECUADOR S.A.;ANÓNIMA;B;B0910.01;"ACTIVIDADES DE SERVICIOS DE EXTRACCIÓN DE PETRÓLEO Y GAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO: SONDEOS, EXPLORACIÓN (POR EJEMPLO: MÉTODOS TRADICIONALES DE PROSPECCIÓN, COMO OBSERVACIONES GEOLÓGICAS EN POSIBLES YACIMIENTOS); PERFORACIÓN DIRIGIDA Y REPERFORACIÓN; PERFORACIÓN INICIAL; ERECCIÓN, REPARACIÓN Y DESMANTELAMIENTO DE TORRES DE PERFORACIÓN, CEMENTACIÓN DE TUBOS DE ENCAMISADO DE LOS POZOS DE PETRÓLEO Y GAS, BOMBEO, TAPONAMIENTO Y ABANDONO DE POZOS, ETCÉTERA; LICUEFACCIÓN Y REGASIFICACIÓN DE GAS NATURAL PARA SU TRANSPORTE, REALIZADAS EN EL LUGAR DE EXTRACCIÓN; DRENAJE Y BOMBEO.";SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;1634;476716937,2;253117881,9;627431741,5;112135570,9;131924201,1;77695968,3;38809079,61;640892235,4;;
29;2022;28;2;ACERIA DEL ECUADOR CA ADELCA.;ANÓNIMA;C;C2410.25;FABRICACIÓN DE ÁNGULOS, PERFILES Y SECCIONES ABIERTAS DE ACERO LAMINADAS EN CALIENTE Y MEDIANTE CONFORMACIÓN PROGRESIVA EN UN LAMINADOR DE RULOS O MEDIANTE PLEGADO EN UNA PRENSA DE PRODUCTOS LAMINADOS PLANOS DE ACERO.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;MERCADO DE VALORES;1197;459045627,9;241915867,6;360387532,7;39973782,63;60791200,51;31825058,85;8438645,06;365013668;;
30;2022;26;45534;ANDES PETROLEUM ECUADOR LTD.;SUCURSAL  EXTRANJERA;B;B0610.00;EXTRACCIÓN DE ACEITES CRUDOS DE PETRÓLEO, ESQUISTOS BITUMINOSOS Y ARENAS ALQUITRANADAS, PRODUCCIÓN DE PETRÓLEO CRUDO DE ESQUISTOS Y ARENAS BITUMINOSAS, PROCESOS DE OBTENCIÓN DE CRUDOS: DECANTACIÓN, DESALADO, DESHIDRATACIÓN, ESTABILIZACIÓN, ETCÉTERA.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;545;437373619,2;124692582;563335259,7;0;340639200,6;213760747,4;78029902,32;618746950,4;;
31;2022;31;3215;NIRSA S.A.;ANÓNIMA;G;G4630.33;VENTA AL POR MAYOR DE PESCADO, CRUSTÁCEOS, MOLUSCOS Y PRODUCTOS DE LA PESCA.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;6298;428256708,3;114038472,3;520248808,2;0;-7496253,16;-5775934,74;0;520248808,2;;
32;2022;24;2448;CERVECERIA NACIONAL CN S.A.;ANÓNIMA;C;C1103.01;ELABORACIÓN DE BEBIDAS MALTEADAS COMO: CERVEZAS CORRIENTES DE FERMENTACIÓN ALTA, NEGRAS Y FUERTES, INCLUIDA CERVEZA DE BAJA GRADUACIÓN O SIN ALCOHOL.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;MERCADO DE VALORES;758;425120107,4;125824253,7;374957391,7;0;79429334,27;59256433,45;20172900,82;374957391,7;;
33;2022;34;9134;REYBANPAC REY BANANO DEL PACIFICO C.L.;RESPONSABILIDAD LIMITADA;A;A0122.01;CULTIVO DE BANANOS Y PLÁTANOS.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;MERCADO DE VALORES;6145;425017237,2;228337925,6;239599650,7;7422289,11;8732104,84;3895236,15;3527052,96;241258327,8;;
34;2022;90;91881;CNPC CHUANQING DRILLING ENGINEERING COMPANY LIMITED;SUCURSAL  EXTRANJERA;B;B0910.01;"ACTIVIDADES DE SERVICIOS DE EXTRACCIÓN DE PETRÓLEO Y GAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO: SONDEOS, EXPLORACIÓN (POR EJEMPLO: MÉTODOS TRADICIONALES DE PROSPECCIÓN, COMO OBSERVACIONES GEOLÓGICAS EN POSIBLES YACIMIENTOS); PERFORACIÓN DIRIGIDA Y REPERFORACIÓN; PERFORACIÓN INICIAL; ERECCIÓN, REPARACIÓN Y DESMANTELAMIENTO DE TORRES DE PERFORACIÓN, CEMENTACIÓN DE TUBOS DE ENCAMISADO DE LOS POZOS DE PETRÓLEO Y GAS, BOMBEO, TAPONAMIENTO Y ABANDONO DE POZOS, ETCÉTERA; LICUEFACCIÓN Y REGASIFICACIÓN DE GAS NATURAL PARA SU TRANSPORTE, REALIZADAS EN EL LUGAR DE EXTRACCIÓN; DRENAJE Y BOMBEO.";SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;590;396559822;109736077;196180490,5;9006672,51;-17857233,48;-17857233,48;3431097,74;197176036,3;;
35;2022;32;3135;ALMACENES DE PRATI SA;ANÓNIMA;G;G4711.01;VENTA AL POR MENOR DE GRAN VARIEDAD DE PRODUCTOS EN TIENDAS, ENTRE LOS QUE PREDOMINAN, LOS PRODUCTOS ALIMENTICIOS, LAS BEBIDAS O EL TABACO, COMO PRODUCTOS DE PRIMERA NECESIDAD Y VARIOS OTROS TIPOS DE PRODUCTOS, COMO PRENDAS DE VESTIR, MUEBLES, APARATOS, ARTÍCULOS DE FERRETERÍA, COSMÉTICOS, ETCÉTERA.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;2827;395170441,4;290435953,8;310533603,6;49002349,02;57649822,38;36813156,36;12854105,81;312611988,5;;
36;2022;48;47559;ENAP SIPETROL S.A.;SUCURSAL  EXTRANJERA;B;B0610.00;EXTRACCIÓN DE ACEITES CRUDOS DE PETRÓLEO, ESQUISTOS BITUMINOSOS Y ARENAS ALQUITRANADAS, PRODUCCIÓN DE PETRÓLEO CRUDO DE ESQUISTOS Y ARENAS BITUMINOSAS, PROCESOS DE OBTENCIÓN DE CRUDOS: DECANTACIÓN, DESALADO, DESHIDRATACIÓN, ESTABILIZACIÓN, ETCÉTERA.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;171;390746714,8;155637709;236431829,5;111216677,9;132409098,3;82848426,99;30022595,56;236529360,8;;
37;2022;38;128168;DINADEC S.A.;ANÓNIMA;G;G4630.95;VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS, INCLUSO EL ENVASADO DE VINO A GRANEL SIN TRANSFORMACIÓN.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;SOCIETARIO;1484;385206512,8;56723543,32;1033549701;0;53768581,22;27671385,37;26097195,84;1033549701;;
38;2022;37;2234;SOCIEDAD AGRICOLA E INDUSTRIAL SAN CARLOS SA;ANÓNIMA;C;C1072.02;"ELABORACIÓN Y REFINADO DE AZÚCAR DE CAÑA Y MELAZA DE CAÑA; REMOLACHA AZUCARERA, ETCÉTERA.";COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;MERCADO DE VALORES;610;372909107,9;263831501,7;165703630,8;13703066,95;16121255,23;9559121,36;3195503,19;166679009,8;;
39;2022;50;72951;TELCONET S.A.;ANÓNIMA;J;J6110.01;ACTIVIDADES DE OPERACIÓN, MANTENIMIENTO O FACILITACIÓN DEL ACCESO A SERVICIOS DE TRANSMISIÓN DE VOZ, DATOS, TEXTO, SONIDO Y VÍDEO UTILIZANDO UNA INFRAESTRUCTURA DE TELECOMUNICACIONES ALAMBRICAS, COMO: OPERACIÓN Y MANTENIMIENTO DE SISTEMAS DE CONMUTACIÓN Y TRANSMISIÓN PARA SUMINISTRAR SERVICIOS DE COMUNICACIONES DE PUNTO A PUNTO POR LÍNEAS ALAMBRICAS, POR MICROONDAS O POR UNA COMBINACIÓN DE LÍNEAS ALAMBRICAS Y CONEXIONES POR SATÉLITE.;COSTA;GUAYAS                                            ;GUAYAQUIL                                         ;GRANDE;MERCADO DE VALORES;4675;363330512,9;139772834,5;256809881;48487905,5;57592515,71;39167144,53;9320760,97;259727206,9;;
40;2022;36;86185;PLUSPETROL ECUADOR B.V.;SUCURSAL  EXTRANJERA;B;B0610.00;EXTRACCIÓN DE ACEITES CRUDOS DE PETRÓLEO, ESQUISTOS BITUMINOSOS Y ARENAS ALQUITRANADAS, PRODUCCIÓN DE PETRÓLEO CRUDO DE ESQUISTOS Y ARENAS BITUMINOSAS, PROCESOS DE OBTENCIÓN DE CRUDOS: DECANTACIÓN, DESALADO, DESHIDRATACIÓN, ESTABILIZACIÓN, ETCÉTERA.;SIERRA;PICHINCHA                                         ;QUITO                                             ;GRANDE;SOCIETARIO;230;360114598,7;276310617,8;199362329,5;-23684790,36;-10498931,36;-7517181,81;20410812,22;199362329,5;;
